event_episode_id,event_type,ddr_wellbore_id,usrop_well_id,onset_md,horizon_m,cutoff_md,join_status,reason
EP_V2_681,Stuck Pipe,NO 15/9-F-1 C,,2362.0,100,2262.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_689,Tight Hole,NO 15/9-F-1 C,,3600.0,25,3575.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_689,Tight Hole,NO 15/9-F-1 C,,3600.0,50,3550.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_689,Tight Hole,NO 15/9-F-1 C,,3600.0,100,3500.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_695,CEMENTING/OPERATIONAL_LOSS,NO 15/9-F-10,,3439.0,25,3414.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_695,CEMENTING/OPERATIONAL_LOSS,NO 15/9-F-10,,3439.0,50,3389.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_695,CEMENTING/OPERATIONAL_LOSS,NO 15/9-F-10,,3439.0,100,3339.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_739,Equipment Failure,NO 15/9-F-10,,3240.0,25,3215.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_739,Equipment Failure,NO 15/9-F-10,,3240.0,50,3190.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_739,Equipment Failure,NO 15/9-F-10,,3240.0,100,3140.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_750,FORMATION_MUD_LOSS,NO 15/9-F-10,,3319.0,25,3294.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_750,FORMATION_MUD_LOSS,NO 15/9-F-10,,3319.0,50,3269.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_750,FORMATION_MUD_LOSS,NO 15/9-F-10,,3319.0,100,3219.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_754,FORMATION_MUD_LOSS,NO 15/9-F-10,,1867.0,25,1842.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_754,FORMATION_MUD_LOSS,NO 15/9-F-10,,1867.0,50,1817.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_754,FORMATION_MUD_LOSS,NO 15/9-F-10,,1867.0,100,1767.0,UNRESOLVED_NO_WELL,Not in USROP
